Subnum,trial,run,rule,lastrule,color,font,number,resp,corr,last_corr,corr_col,corr_font,corr_num,persev,persev_err,abstime,rt,ptp,unambig,ptpCorr,tent,tent2,corr2,PARPERS,PARPERSERR,
8199,1,1,2,-1,R,T,2,1,0,0,1,0,0,0,0,134889,647,1,1,0,0,0,0,0,0,
8199,2,1,2,-1,R,M,2,1,0,0,1,0,0,0,0,136426,989,1,1,0,0,0,0,0,0,
8199,3,1,2,-1,B,C,4,4,1,0,0,1,1,0,0,138311,5312,1,0,0,0,0,1,0,0,
8199,4,1,2,-1,G,C,1,1,0,0,0,0,1,0,0,144438,619,1,3,0,0,0,0,0,0,
8199,5,1,2,-1,Y,C,3,4,1,0,1,1,0,0,0,145954,1510,1,0,0,0,0,1,0,0,
8199,6,1,2,-1,Y,C,3,4,1,0,1,1,0,0,0,148275,565,1,0,0,0,0,1,0,0,
8199,7,1,2,-1,R,T,2,1,0,0,1,0,0,0,0,149655,1393,1,1,0,0,0,0,0,0,
8199,8,1,2,-1,B,C,3,4,1,0,0,1,0,0,0,151945,5911,1,2,0,0,0,1,0,0,
8199,9,1,2,-1,B,T,2,2,1,0,0,1,1,0,0,158673,1192,1,0,0,0,0,1,0,0,
8199,10,1,2,-1,R,M,1,3,1,0,0,1,0,0,0,160717,1324,1,2,0,0,0,1,0,0,
8199,11,1,2,-1,G,C,2,4,1,0,0,1,0,0,0,162855,1018,1,2,0,0,0,1,0,0,
8199,12,1,2,-1,Y,T,1,2,1,0,0,1,0,0,0,164687,1227,1,2,0,0,0,1,0,0,
8199,13,1,2,-1,Y,T,4,2,1,0,0,1,0,0,0,166763,702,1,2,0,0,0,1,0,0,
8199,14,1,2,-1,B,M,2,3,1,0,1,1,0,0,0,168323,846,1,0,0,0,0,1,0,0,
8199,15,1,2,-1,R,M,2,3,1,0,0,1,0,0,0,169988,813,1,2,0,0,0,1,0,0,
8199,16,1,2,-1,B,T,2,2,1,0,0,1,1,0,0,171615,747,1,0,0,0,0,1,0,0,
8199,17,1,2,-1,R,T,3,2,1,0,0,1,0,0,0,173215,811,1,2,0,0,0,1,0,0,
8199,18,2,3,2,R,C,3,3,1,0,0,0,1,0,0,174879,2851,2,3,0,0,0,1,0,0,
8199,19,2,3,2,R,T,3,3,1,0,0,0,1,0,0,178545,553,2,3,0,0,0,1,0,0,
8199,20,2,3,2,B,B,1,1,1,1,0,1,1,1,0,179914,600,2,0,0,0,0,1,0,0,
8199,21,2,3,2,R,M,1,1,1,0,1,0,1,0,0,181404,567,2,0,0,0,0,1,0,0,
8199,22,2,3,2,Y,B,3,3,1,0,0,0,1,0,0,182879,739,2,3,0,0,0,1,0,0,
8199,23,2,3,2,Y,M,4,4,1,0,1,0,1,0,0,184432,650,2,0,0,0,0,1,0,0,
8199,24,2,3,2,B,C,1,1,1,0,0,0,1,0,0,185895,684,2,3,0,0,0,1,0,0,
8199,25,2,3,2,G,C,3,2,0,0,1,0,0,0,0,187473,608,2,1,0,0,0,0,0,0,
8199,26,2,3,2,Y,B,4,4,1,0,1,0,1,0,0,188971,711,2,0,0,0,0,1,0,0,
8199,27,2,3,2,R,B,1,1,1,1,1,1,1,1,0,190498,585,2,0,0,0,0,1,0,0,
8199,28,2,3,2,G,C,4,4,1,1,0,1,1,1,0,191975,740,2,0,0,0,0,1,0,0,
8199,29,2,3,2,R,C,2,2,1,0,0,0,1,0,0,193536,723,2,3,0,0,0,1,0,0,
8199,30,2,3,2,Y,M,3,3,1,1,0,1,1,1,0,195108,935,2,0,0,0,0,1,0,0,
8199,31,2,3,2,G,T,2,2,1,1,1,1,1,1,0,196856,683,2,0,0,0,0,1,0,0,
8199,32,2,3,2,B,M,2,2,1,0,0,0,1,0,0,198394,641,2,3,0,0,0,1,0,0,
8199,33,2,3,2,B,T,4,4,1,0,0,0,1,0,0,199889,898,2,3,0,0,0,1,0,0,
8199,34,2,3,2,Y,M,4,4,1,0,1,0,1,0,0,201600,627,2,0,0,0,0,1,0,0,
8199,35,2,3,2,B,M,1,1,1,0,0,0,1,0,0,203044,623,2,3,0,0,0,1,0,0,
8199,36,3,1,3,G,C,3,3,0,1,0,0,1,1,1,204560,675,3,3,0,0,0,0,0,0,
8199,37,3,1,3,R,T,3,1,1,0,1,0,0,0,0,206048,2308,3,1,0,0,0,1,0,0,
8199,38,3,1,3,B,B,4,3,1,0,1,0,0,0,0,209251,714,3,1,0,0,0,1,0,0,
8199,39,3,1,3,G,M,3,2,1,0,1,0,0,0,0,210780,704,3,1,0,0,0,1,0,0,
8199,40,3,1,3,B,B,4,3,1,0,1,0,0,0,0,212337,563,3,1,0,0,0,1,0,0,
8199,41,3,1,3,G,B,2,2,1,1,1,0,1,1,0,213718,590,3,0,0,0,0,1,0,0,
8199,42,3,1,3,Y,T,4,4,1,1,1,0,1,1,0,215167,629,3,0,0,0,0,1,0,0,
8199,43,3,1,3,B,B,1,3,1,0,1,0,0,0,0,216610,738,3,1,0,0,0,1,0,0,
8199,44,3,1,3,Y,B,4,4,1,1,1,0,1,1,0,218164,625,3,0,0,0,0,1,0,0,
8199,45,3,1,3,G,T,1,2,1,0,1,1,0,0,0,219603,864,3,0,0,0,0,1,0,0,
8199,46,3,1,3,B,C,4,3,1,0,1,0,0,0,0,221319,630,3,1,0,0,0,1,0,0,
8199,47,4,2,1,G,T,1,2,1,1,1,1,0,1,0,222765,2510,1,0,0,0,0,1,0,0,
8199,48,4,2,1,R,T,3,2,1,0,0,1,0,0,0,226124,609,1,2,0,0,0,1,0,0,
8199,49,4,2,1,R,T,3,2,1,0,0,1,0,0,0,227586,547,1,2,0,0,0,1,0,0,
8199,50,4,2,1,Y,T,1,2,1,0,0,1,0,0,0,228989,608,1,2,0,0,0,1,0,0,
8199,51,4,2,1,G,C,3,4,1,0,0,1,0,0,0,230451,754,1,2,0,0,0,1,0,0,
8199,52,4,2,1,R,M,1,3,1,0,0,1,0,0,0,232019,858,1,2,0,0,0,1,0,0,
8199,53,4,2,1,G,C,2,4,1,0,0,1,0,0,0,233691,770,1,2,0,0,0,1,0,0,
8199,54,4,2,1,B,M,4,3,1,1,1,1,0,1,0,235274,826,1,0,0,0,0,1,0,0,
8199,55,4,2,1,B,B,1,2,0,0,0,0,0,0,0,236913,981,1,0,0,0,0,0,0,0,
8199,56,4,2,1,R,B,1,1,1,1,1,1,1,1,0,238748,1426,1,0,0,0,0,1,0,0,
8199,57,4,2,1,G,B,1,1,1,0,0,1,1,0,0,241068,786,1,0,0,0,0,1,0,0,
8199,58,4,2,1,G,B,1,1,1,0,0,1,1,0,0,242754,588,1,0,0,0,0,1,0,0,
8199,59,4,2,1,B,B,2,1,1,0,0,1,0,0,0,244237,642,1,2,0,0,0,1,0,0,
8199,60,4,2,1,R,B,2,1,1,1,1,1,0,1,0,245778,572,1,0,0,0,0,1,0,0,
8199,61,4,2,1,R,T,2,2,1,0,0,1,1,0,0,247245,746,1,0,0,0,0,1,0,0,
8199,62,4,2,1,B,C,1,4,1,0,0,1,0,0,0,248843,755,1,2,0,0,0,1,0,0,
8199,63,4,2,1,B,T,4,2,1,0,0,1,0,0,0,250412,738,1,2,0,0,0,1,0,0,
8199,64,4,2,1,R,T,4,2,1,0,0,1,0,0,0,252004,634,1,2,0,0,0,1,0,0,
8199,65,4,2,1,B,B,3,1,1,0,0,1,0,0,0,253491,892,1,2,0,0,0,1,0,0,
8199,66,5,3,2,R,C,2,2,1,0,0,0,1,0,0,255275,2004,2,3,0,0,0,1,0,0,
8199,67,5,3,2,Y,M,3,3,1,1,0,1,1,1,0,258125,1330,2,0,0,0,0,1,0,0,
8199,68,5,3,2,R,B,4,1,0,1,1,1,0,1,1,260271,1072,2,0,0,0,0,0,0,0,
8199,69,5,3,2,Y,C,2,2,1,0,0,0,1,0,0,262233,1462,2,3,0,0,0,1,0,0,
8199,70,5,3,2,B,B,1,1,1,1,0,1,1,1,0,264547,717,2,0,0,0,0,1,0,0,
8199,71,5,3,2,R,T,1,1,1,0,1,0,1,0,0,266156,692,2,0,0,0,0,1,0,0,
8199,72,5,3,2,Y,C,2,2,1,0,0,0,1,0,0,267740,698,2,3,0,0,0,1,0,0,
8199,73,5,3,2,Y,B,4,4,1,0,1,0,1,0,0,269293,794,2,0,0,0,0,1,0,0,
8199,74,5,3,2,B,M,1,1,1,0,0,0,1,0,0,270899,1013,2,3,0,0,0,1,0,0,
8199,75,5,3,2,Y,C,2,2,1,0,0,0,1,0,0,272809,999,2,3,0,0,0,1,0,0,
8199,76,5,3,2,G,T,2,2,1,1,1,1,1,1,0,274663,521,2,0,0,0,0,1,0,0,
8199,77,5,3,2,R,T,3,3,1,0,0,0,1,0,0,276037,691,2,3,0,0,0,1,0,0,
8199,78,5,3,2,B,B,4,4,1,0,0,0,1,0,0,277543,849,2,3,0,0,0,1,0,0,
8199,79,6,1,3,B,T,4,4,0,1,0,0,1,1,1,279203,2613,3,3,0,0,0,0,0,0,
8199,80,6,1,3,G,M,1,1,0,1,0,0,1,1,1,282629,1788,3,3,0,0,0,0,0,0,
8199,81,6,1,3,Y,T,4,4,1,1,1,0,1,1,0,285306,822,3,0,0,0,0,1,0,0,
8199,82,6,1,3,G,C,3,2,1,0,1,0,0,0,0,286940,821,3,1,0,0,0,1,0,0,
8199,83,6,1,3,G,M,1,2,1,0,1,0,0,0,0,288610,751,3,1,0,0,0,1,0,0,
8199,84,6,1,3,B,T,2,3,1,0,1,0,0,0,0,290213,692,3,1,0,0,0,1,0,0,
8199,85,6,1,3,G,T,3,2,1,0,1,1,0,0,0,291717,804,3,0,0,0,0,1,0,0,
8199,86,6,1,3,G,C,3,2,1,0,1,0,0,0,0,293372,765,3,1,0,0,0,1,0,0,
8199,87,6,1,3,G,C,1,2,1,0,1,0,0,0,0,294991,594,3,1,0,0,0,1,0,0,
8199,88,6,1,3,G,B,2,2,1,1,1,0,1,1,0,296440,697,3,0,0,0,0,1,0,0,
8199,89,6,1,3,R,M,1,1,1,1,1,0,1,1,0,297994,751,3,0,0,0,0,1,0,0,
8199,90,6,1,3,Y,M,3,4,1,0,1,0,0,0,0,299638,731,3,1,0,0,0,1,0,0,
